recipe_name,prep,cooking,food type,Calories, Carbohydrates, Protein, Fat, Saturated Fat, Polyunsaturated Fat, Sodium, Potassium, Fiber, Sugar, Vitamin A, Vitamin C, Calcium, Iron,Serving, Cholesterol, Trans Fat,url,ingredients,tokenized_ingredients,cleaned_tokenized_ingredients
Igado Recipe,"10
minutes","45
minutes",Lunch,, 13g (4%, 38g (76%, 20g (31%, 3g (15%, 5g Monounsaturated Fat, 1913mg (80%, 780mg (22%, 3g (12%, 5g (6%, 16012IU (320%, 71mg (86%, 50mg (5%, 18mg (100%, 4g Calories,,,https://panlasangpinoy.com/ilocano-pork-igado-recipe/,"▢
1/2 lbs. pork tenderloin sliced into 2-inch strips
▢
1/2 lb. pork liver sliced into 2-inch strips
▢
1/2 lb. pork kidney
▢
1 Knorr Pork Cube
▢
1 red bell pepper cut into strips
▢
1/2 cup green peas
▢
1 carrot julienne
▢
3 laurel leaves
▢
1 onion minced
▢
5 cloves garlic minced
▢
6 tablespoons soy sauce
▢
5 tablespoons white vinegar
▢
1 1/4 cup water
▢
4 tablespoons cooking oil
▢
Salt and pepper to taste","[[], ['12', 'lbs', 'pork', 'tenderloin', 'sliced', 'into', '2inch', 'strips'], [], ['12', 'lb', 'pork', 'liver', 'sliced', 'into', '2inch', 'strips'], [], ['12', 'lb', 'pork', 'kidney'], [], ['1', 'Knorr', 'Pork', 'Cube'], [], ['1', 'red', 'bell', 'pepper', 'cut', 'into', 'strips'], [], ['12', 'cup', 'green', 'peas'], [], ['1', 'carrot', 'julienne'], [], ['3', 'laurel', 'leaves'], [], ['1', 'onion', 'minced'], [], ['5', 'cloves', 'garlic', 'minced'], [], ['6', 'tablespoons', 'soy', 'sauce'], [], ['5', 'tablespoons', 'white', 'vinegar'], [], ['1', '14', 'cup', 'water'], [], ['4', 'tablespoons', 'cooking', 'oil'], [], ['Salt', 'and', 'pepper', 'to', 'taste']]","['pork', 'tenderloin', 'into', 'inch', 'strips', 'pork', 'liver', 'into', 'inch', 'strips', 'pork', 'kidney', 'knorr', 'pork', 'cube', 'red', 'bell', 'pepper', 'cut', 'into', 'strips', 'green', 'peas', 'carrot', 'julienne', 'laurel', 'leaves', 'onion', 'garlic', 'soy', 'sauce', 'white', 'vinegar', 'water', 'cooking', 'oil', 'salt', 'and', 'pepper', 'to', 'taste']"
Pork Adobo Recipe,"10
minutes",,Lunch,, 5g (2%, 24g (48%, 120g (185%, 43g (215%,, 1700mg (71%, 530mg (15%, 1g (4%,, 115IU (2%, 2.5mg (3%, 50mg (5%, 2.7mg (15%, 4g Calories, 163mg (54%,,https://panlasangpinoy.com/sprite-pork-adobo-recipe/,"▢
2 lbs. pork belly cubed
▢
7 tablespoons soy sauce
▢
4 tablespoons white vinegar
▢
1 can Sprite or similar soda pop
▢
1 piece onion minced
▢
5 pieces dried bay leaves
▢
1 ½ teaspoons whole peppercorn
▢
5 cloves garlic crushed
▢
½ cup water
▢
3 tablespoons cooking oil","[[], ['2', 'lbs', 'pork', 'belly', 'cubed'], [], ['7', 'tablespoons', 'soy', 'sauce'], [], ['4', 'tablespoons', 'white', 'vinegar'], [], ['1', 'can', 'Sprite', 'or', 'similar', 'soda', 'pop'], [], ['1', 'piece', 'onion', 'minced'], [], ['5', 'pieces', 'dried', 'bay', 'leaves'], [], ['1', '½', 'teaspoons', 'whole', 'peppercorn'], [], ['5', 'cloves', 'garlic', 'crushed'], [], ['½', 'cup', 'water'], [], ['3', 'tablespoons', 'cooking', 'oil']]","['pork', 'belly', 'cubed', 'soy', 'sauce', 'white', 'vinegar', 'sprite', 'or', 'similar', 'soda', 'pop', 'onion', 'dried', 'bay', 'leaves', 'peppercorn', 'garlic', 'water', 'cooking', 'oil']"
Pinoy Chicken Curry Recipe,"10
minutes",,Lunch,, 7g (2%, 30g (60%, 39g (60%, 21g (105%, 5g Monounsaturated Fat, 131mg (5%, 587mg (17%, 1g (4%, 2g (2%, 908IU (18%, 31mg (38%, 53mg (5%, 4mg (22%, 6g Calories,,,https://panlasangpinoy.com/chicken-curry-pinoy-style/,"▢
2 lbs. chicken cut into serving pieces
▢
1 tablespoon curry powder
▢
1 piece potato cubed
▢
4 cloves garlic minced
▢
2 stalks celery sliced
▢
1 piece red bell pepper sliced
▢
2 pieces long green pepper
▢
1 piece onion chopped
▢
2 thumbs ginger cut into strips
▢
2 cups coconut milk
▢
1/2 cup all-purpose cream optional
▢
1 cup water
▢
fish sauce and ground black pepper to taste","[[], ['2', 'lbs', 'chicken', 'cut', 'into', 'serving', 'pieces'], [], ['1', 'tablespoon', 'curry', 'powder'], [], ['1', 'piece', 'potato', 'cubed'], [], ['4', 'cloves', 'garlic', 'minced'], [], ['2', 'stalks', 'celery', 'sliced'], [], ['1', 'piece', 'red', 'bell', 'pepper', 'sliced'], [], ['2', 'pieces', 'long', 'green', 'pepper'], [], ['1', 'piece', 'onion', 'chopped'], [], ['2', 'thumbs', 'ginger', 'cut', 'into', 'strips'], [], ['2', 'cups', 'coconut', 'milk'], [], ['12', 'cup', 'allpurpose', 'cream', 'optional'], [], ['1', 'cup', 'water'], [], ['fish', 'sauce', 'and', 'ground', 'black', 'pepper', 'to', 'taste']]","['chicken', 'cut', 'into', 'serving', 'curry', 'powder', 'potato', 'cubed', 'garlic', 'celery', 'red', 'bell', 'pepper', 'long', 'green', 'pepper', 'onion', 'thumbs', 'ginger', 'cut', 'into', 'strips', 'coconut', 'milk', 'all', 'purpose', 'cream', 'optional', 'water', 'fish', 'sauce', 'and', 'ground', 'black', 'pepper', 'to', 'taste']"
Filipino Style Escabeche,"10
minutes","30
minutes",Lunch, 598kcal (30%, 19g (6%, 38g (76%, 43g (66%, 4g (20%, 12g Monounsaturated Fat, 3008mg (125%, 764mg (22%, 2g (8%, 13g (14%, 2934IU (59%, 53mg (64%, 41mg (4%, 1mg (6%,,,,https://panlasangpinoy.com/filipino-style-escabeche/,"▢
2 lbs fish (large) sliced into serving pieces
▢
¾ cup cooking oil
▢
2 tablespoons salt","[[], ['2', 'lbs', 'fish', 'large', 'sliced', 'into', 'serving', 'pieces'], [], ['¾', 'cup', 'cooking', 'oil'], [], ['2', 'tablespoons', 'salt']]","['fish', 'into', 'serving', 'cooking', 'oil', 'salt']"
Chicken Gising-gising,"10
minutes","35
minutes",Lunch, 739kcal (37%, 21g (7%, 53g (106%, 50g (77%, 15g (75%, 10g Monounsaturated Fat, 325mg (14%, 880mg (25%, 1g (4%, 1g (1%, 363IU (7%, 16mg (19%, 80mg (8%, 4mg (22%,,,,https://panlasangpinoy.com/chicken-gising-gising/,"▢
2 lbs. chicken cut into serving pieces
▢
90 grams Knorr Ginataang Gulay Mix
▢
½ lb. winged bean sigarilyas, sliced
▢
2 long green chili pepper sliced
▢
5 Thai chili pepper optional
▢
1 tablespoon shrimp paste
▢
3 cups water
▢
1 onion chopped
▢
5 cloves garlic chopped
▢
2 thumbs ginger chopped
▢
3 tablespoons cooking oil","[[], ['2', 'lbs', 'chicken', 'cut', 'into', 'serving', 'pieces'], [], ['90', 'grams', 'Knorr', 'Ginataang', 'Gulay', 'Mix'], [], ['½', 'lb', 'winged', 'bean', 'sigarilyas', 'sliced'], [], ['2', 'long', 'green', 'chili', 'pepper', 'sliced'], [], ['5', 'Thai', 'chili', 'pepper', 'optional'], [], ['1', 'tablespoon', 'shrimp', 'paste'], [], ['3', 'cups', 'water'], [], ['1', 'onion', 'chopped'], [], ['5', 'cloves', 'garlic', 'chopped'], [], ['2', 'thumbs', 'ginger', 'chopped'], [], ['3', 'tablespoons', 'cooking', 'oil']]","['chicken', 'cut', 'into', 'serving', 'knorr', 'ginataang', 'gulay', 'mix', 'winged', 'bean', 'sigarilyas', 'long', 'green', 'chili', 'pepper', 'thai', 'chili', 'pepper', 'optional', 'shrimp', 'paste', 'water', 'onion', 'garlic', 'thumbs', 'ginger', 'cooking', 'oil']"
"Ginataang Hipon, Sitaw, at Kalabasa","10
minutes","40
minutes",Lunch,, 19g (6%, 13g (26%, 36g (55%, 22g (110%, 3g Monounsaturated Fat, 283mg (12%, 660mg (19%, 1g (4%, 2g (2%, 815IU (16%, 142mg (172%, 338mg (34%, 5mg (28%, 4g Calories,,,https://panlasangpinoy.com/ginataang-hipon-sitaw-at-kalabasa/,"▢
1 lb shrimp cleaned
▢
10 strings beans sitaw, cut into 2 1/2 inch length
▢
2 cups kalabasa squash, cubed
▢
2 cups coconut milk
▢
1 medium yellow onion sliced
▢
2 tablespoons bagoong alamang shrimp paste
▢
1 cup malunggay leaves
▢
3 cloves garlic crushed
▢
Salt and pepper to taste
▢
3 tablespoons cooking oil
▢
Salt and pepper to taste","[[], ['1', 'lb', 'shrimp', 'cleaned'], [], ['10', 'strings', 'beans', 'sitaw', 'cut', 'into', '2', '12', 'inch', 'length'], [], ['2', 'cups', 'kalabasa', 'squash', 'cubed'], [], ['2', 'cups', 'coconut', 'milk'], [], ['1', 'medium', 'yellow', 'onion', 'sliced'], [], ['2', 'tablespoons', 'bagoong', 'alamang', 'shrimp', 'paste'], [], ['1', 'cup', 'malunggay', 'leaves'], [], ['3', 'cloves', 'garlic', 'crushed'], [], ['Salt', 'and', 'pepper', 'to', 'taste'], [], ['3', 'tablespoons', 'cooking', 'oil'], [], ['Salt', 'and', 'pepper', 'to', 'taste']]","['shrimp', 'cleaned', 'strings', 'beans', 'sitaw', 'cut', 'into', 'inch', 'length', 'kalabasa', 'squash', 'cubed', 'coconut', 'milk', 'yellow', 'onion', 'bagoong', 'alamang', 'shrimp', 'paste', 'malunggay', 'leaves', 'garlic', 'salt', 'and', 'pepper', 'to', 'taste', 'cooking', 'oil', 'salt', 'and', 'pepper', 'to', 'taste']"
Hardinera (Jardinera) Recipe,"10
minutes",,Lunch,, 52g (17%, 48g (96%, 58g (89%, 19g (95%, 8g Monounsaturated Fat, 1406mg (59%, 1062mg (30%, 4g (16%, 17g (19%, 4590IU (92%, 28mg (34%, 199mg (20%, 6mg (33%, 3g Calories,,,https://panlasangpinoy.com/hardinera/,"▢
2 tablespoons cooking oil
▢
1 medium sized onion diced
▢
3 cloves garlic minced
▢
1 lb pork diced
▢
1 cup water
▢
1/2 cup tomato sauce
▢
1/4 cup sweet pickle relish
▢
1/2 cup beef franks or hotdogs diced
▢
1/4 cup raisins
▢
1/2 teaspoon salt
▢
1/2 teaspoon ground black pepper
▢
1/2 beef cube
▢
1/2 cup pineapple chunks
▢
1/4 cup roasted sweet pepper
▢
1/4 cup liver spread
▢
1/4 cup cheese grated
▢
1/2 cup bread crumbs
▢
2 eggs hard boiled, sliced or wedged
▢
2 eggs raw","[[], ['2', 'tablespoons', 'cooking', 'oil'], [], ['1', 'medium', 'sized', 'onion', 'diced'], [], ['3', 'cloves', 'garlic', 'minced'], [], ['1', 'lb', 'pork', 'diced'], [], ['1', 'cup', 'water'], [], ['12', 'cup', 'tomato', 'sauce'], [], ['14', 'cup', 'sweet', 'pickle', 'relish'], [], ['12', 'cup', 'beef', 'franks', 'or', 'hotdogs', 'diced'], [], ['14', 'cup', 'raisins'], [], ['12', 'teaspoon', 'salt'], [], ['12', 'teaspoon', 'ground', 'black', 'pepper'], [], ['12', 'beef', 'cube'], [], ['12', 'cup', 'pineapple', 'chunks'], [], ['14', 'cup', 'roasted', 'sweet', 'pepper'], [], ['14', 'cup', 'liver', 'spread'], [], ['14', 'cup', 'cheese', 'grated'], [], ['12', 'cup', 'bread', 'crumbs'], [], ['2', 'eggs', 'hard', 'boiled', 'sliced', 'or', 'wedged'], [], ['2', 'eggs', 'raw']]","['cooking', 'oil', 'sized', 'onion', 'garlic', 'pork', 'water', 'tomato', 'sauce', 'sweet', 'pickle', 'relish', 'beef', 'franks', 'or', 'hotdogs', 'raisins', 'salt', 'ground', 'black', 'pepper', 'beef', 'cube', 'pineapple', 'chunks', 'roasted', 'sweet', 'pepper', 'liver', 'spread', 'cheese', 'bread', 'crumbs', 'eggs', 'hard', 'boiled', 'or', 'wedged', 'eggs', 'raw']"
Bulalo Recipe,"10
minutes","50
minutes",Lunch,, 13g (4%, 32g (64%, 6g (9%, 2g (10%, 1g Monounsaturated Fat, 122mg (5%, 862mg (25%, 5g (20%, 5g (6%, 276IU (6%, 46mg (56%, 118mg (12%, 4mg (22%, 4g Calories,,,https://panlasangpinoy.com/bulalo-stewed-beef-shank/,"▢
2 lbs beef shank
▢
½ cabbage whole leaf individually detached
▢
1 bundle bok choy
▢
2 cobs corn each cut into 3 parts
▢
2 Tablespoons whole peppercorn
▢
1/2 cup green onions cut unto 1 1/2 inch pieces
▢
1 onion
▢
34 ounces water
▢
fish sauce to taste optional","[[], ['2', 'lbs', 'beef', 'shank'], [], ['½', 'cabbage', 'whole', 'leaf', 'individually', 'detached'], [], ['1', 'bundle', 'bok', 'choy'], [], ['2', 'cobs', 'corn', 'each', 'cut', 'into', '3', 'parts'], [], ['2', 'Tablespoons', 'whole', 'peppercorn'], [], ['12', 'cup', 'green', 'onions', 'cut', 'unto', '1', '12', 'inch', 'pieces'], [], ['1', 'onion'], [], ['34', 'ounces', 'water'], [], ['fish', 'sauce', 'to', 'taste', 'optional']]","['beef', 'shank', 'cabbage', 'leaf', 'individually', 'detached', 'bundle', 'bok', 'choy', 'cobs', 'corn', 'each', 'cut', 'into', 'parts', 'peppercorn', 'green', 'onions', 'cut', 'unto', 'inch', 'onion', 'water', 'fish', 'sauce', 'to', 'taste', 'optional']"
Pancit Palabok Recipe,"10
minutes","35
minutes",Lunch,, 81g (27%, 27g (54%, 26g (40%, 8g (40%, 4g Monounsaturated Fat, 1174mg (49%, 528mg (15%, 3g (12%, 1g (1%, 184IU (4%, 29mg (35%, 88mg (9%, 3mg (17%, 6g Calories,,,https://panlasangpinoy.com/asian-filipino-food-noodles-pansit-pancit-palabok-recipe/,"▢
500 grams rice noodles bihon","[[], ['500', 'grams', 'rice', 'noodles', 'bihon']]","['rice', 'noodles', 'bihon']"
Kalderetang Kambing,"10
minutes",,Lunch,, 15g (5%, 32g (64%, 21g (32%, 4g (20%, 4g Monounsaturated Fat, 818mg (34%, 1047mg (30%, 4g (16%, 8g (9%, 8312IU (166%, 58mg (70%, 76mg (8%, 5mg (28%, 4g Calories,,,https://panlasangpinoy.com/stew-goat-meat-kalderetang-kambing-recipe/,"▢
1 lb goat meat chevon, cubed
▢
1 tablespoon garlic minced
▢
1 onion minced
▢
3 tomatoes diced
▢
4 Thai chili optional
▢
1 cup tomato sauce
▢
3/4 cup bell pepper sliced
▢
6 tablespoon liver spread
▢
3/4 cup green olives optional
▢
1/2 cup vinegar
▢
1 carrot cubed
▢
1 potato cubed
▢
3 tablespoons cooking oil
▢
2 cups water
▢
Salt and pepper to taste","[[], ['1', 'lb', 'goat', 'meat', 'chevon', 'cubed'], [], ['1', 'tablespoon', 'garlic', 'minced'], [], ['1', 'onion', 'minced'], [], ['3', 'tomatoes', 'diced'], [], ['4', 'Thai', 'chili', 'optional'], [], ['1', 'cup', 'tomato', 'sauce'], [], ['34', 'cup', 'bell', 'pepper', 'sliced'], [], ['6', 'tablespoon', 'liver', 'spread'], [], ['34', 'cup', 'green', 'olives', 'optional'], [], ['12', 'cup', 'vinegar'], [], ['1', 'carrot', 'cubed'], [], ['1', 'potato', 'cubed'], [], ['3', 'tablespoons', 'cooking', 'oil'], [], ['2', 'cups', 'water'], [], ['Salt', 'and', 'pepper', 'to', 'taste']]","['goat', 'meat', 'chevon', 'cubed', 'garlic', 'onion', 'tomatoes', 'thai', 'chili', 'optional', 'tomato', 'sauce', 'bell', 'pepper', 'liver', 'spread', 'green', 'olives', 'optional', 'vinegar', 'carrot', 'cubed', 'potato', 'cubed', 'cooking', 'oil', 'water', 'salt', 'and', 'pepper', 'to', 'taste']"
Bam-I Recipe,"10
minutes","40
minutes",Lunch,, 58g (19%, 20g (40%, 20g (31%, 5g (25%, 4g Monounsaturated Fat, 1341mg (56%, 495mg (14%, 3g (12%, 4g (4%, 2976IU (60%, 20mg (24%, 55mg (6%, 2mg (11%, 6g Calories,,,https://panlasangpinoy.com/bam-i-cebuano-pansit-recipe/,"▢
1/2 lb pork sliced
▢
1/2 lb chicken boiled and shredded
▢
4 pieces Chinese sausage sliced
▢
1 lb shrimp shelled and heads removed
▢
8 ounces flour sticks pancit canton noodles
▢
4 to 6 ounces rice noodles sotanghon soaked in water
▢
1 1/2 to 2 cups chicken stock
▢
3 cups cabbage chopped
▢
3/4 cup carrots julienned
▢
1/2 cup dried wood ear soaked in water and chopped (also known as tenga ng daga)
▢
1 medium onion diced
▢
1/4 cup parsley cleaned and chopped
▢
1/2 cup shrimp juice derived by pounding the head of the shrimp
▢
1/2 cup soy sauce
▢
1 piece chicken cube or bouillon
▢
1 tablespoon garlic minced
▢
Salt and ground black pepper to taste
▢
2 to 3 tablespoons cooking oil","[[], ['12', 'lb', 'pork', 'sliced'], [], ['12', 'lb', 'chicken', 'boiled', 'and', 'shredded'], [], ['4', 'pieces', 'Chinese', 'sausage', 'sliced'], [], ['1', 'lb', 'shrimp', 'shelled', 'and', 'heads', 'removed'], [], ['8', 'ounces', 'flour', 'sticks', 'pancit', 'canton', 'noodles'], [], ['4', 'to', '6', 'ounces', 'rice', 'noodles', 'sotanghon', 'soaked', 'in', 'water'], [], ['1', '12', 'to', '2', 'cups', 'chicken', 'stock'], [], ['3', 'cups', 'cabbage', 'chopped'], [], ['34', 'cup', 'carrots', 'julienned'], [], ['12', 'cup', 'dried', 'wood', 'ear', 'soaked', 'in', 'water', 'and', 'chopped', 'also', 'known', 'as', 'tenga', 'ng', 'daga'], [], ['1', 'medium', 'onion', 'diced'], [], ['14', 'cup', 'parsley', 'cleaned', 'and', 'chopped'], [], ['12', 'cup', 'shrimp', 'juice', 'derived', 'by', 'pounding', 'the', 'head', 'of', 'the', 'shrimp'], [], ['12', 'cup', 'soy', 'sauce'], [], ['1', 'piece', 'chicken', 'cube', 'or', 'bouillon'], [], ['1', 'tablespoon', 'garlic', 'minced'], [], ['Salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste'], [], ['2', 'to', '3', 'tablespoons', 'cooking', 'oil']]","['pork', 'chicken', 'boiled', 'and', 'chinese', 'sausage', 'shrimp', 'shelled', 'and', 'heads', 'removed', 'flour', 'sticks', 'pancit', 'canton', 'noodles', 'to', 'rice', 'noodles', 'sotanghon', 'soaked', 'in', 'water', 'to', 'chicken', 'stock', 'cabbage', 'carrots', 'julienned', 'dried', 'wood', 'ear', 'soaked', 'in', 'water', 'and', 'also', 'known', 'as', 'tenga', 'ng', 'daga', 'onion', 'parsley', 'cleaned', 'and', 'shrimp', 'juice', 'derived', 'by', 'pounding', 'the', 'head', 'of', 'the', 'shrimp', 'soy', 'sauce', 'chicken', 'cube', 'or', 'bouillon', 'garlic', 'salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste', 'to', 'cooking', 'oil']"
Ginisang Ampalaya,"10
minutes","20
minutes",Lunch,, 6g (2%, 4g (8%, 13g (20%, 1g (5%, 3g Monounsaturated Fat, 37mg (2%, 292mg (8%, 2g (8%, 2g (2%, 596IU (12%, 46mg (56%, 35mg (4%, 1mg (6%, 4g Calories,,,https://panlasangpinoy.com/healthy-bitter-melon-ginisang-ampalaya-recipe/,"▢
2 pieces ampalaya cleaned and cut into thin slices
▢
1 tbsp garlic minced
▢
1/2 tsp ground black pepper
▢
salt to taste
▢
2 raw eggs
▢
18 ounces luke warm water
▢
1 tomato sliced
▢
1 onion sliced
▢
3 tbsp cooking oil","[[], ['2', 'pieces', 'ampalaya', 'cleaned', 'and', 'cut', 'into', 'thin', 'slices'], [], ['1', 'tbsp', 'garlic', 'minced'], [], ['12', 'tsp', 'ground', 'black', 'pepper'], [], ['salt', 'to', 'taste'], [], ['2', 'raw', 'eggs'], [], ['18', 'ounces', 'luke', 'warm', 'water'], [], ['1', 'tomato', 'sliced'], [], ['1', 'onion', 'sliced'], [], ['3', 'tbsp', 'cooking', 'oil']]","['ampalaya', 'cleaned', 'and', 'cut', 'into', 'thin', 'garlic', 'ground', 'black', 'pepper', 'salt', 'to', 'taste', 'raw', 'eggs', 'luke', 'warm', 'water', 'tomato', 'onion', 'cooking', 'oil']"
Almondigas Recipe,"10
minutes","30
minutes",Lunch,, 21g (7%, 15g (30%, 24g (37%, 7g (35%, 4g Monounsaturated Fat, 1160mg (48%, 299mg (9%, 1g (4%, 1g (1%, 48IU (1%, 3mg (4%, 40mg (4%, 2mg (11%, 6g Calories,,,https://panlasangpinoy.com/almondigas-misua-patola-recipe/,"▢
1 lb ground pork
▢
1 piece patola ridge gourd, sliced
▢
4 ounces misua
▢
1 piece onion minced
▢
6 cloves garlic crushed
▢
3 tablespoons fish sauce
▢
1 piece raw egg
▢
1 piece beef cube
▢
1/8 cup all-purpose flour
▢
1 teaspoon Salt
▢
1/2 teaspoon ground black pepper
▢
5 cups water
▢
3 tablespoons cooking oil","[[], ['1', 'lb', 'ground', 'pork'], [], ['1', 'piece', 'patola', 'ridge', 'gourd', 'sliced'], [], ['4', 'ounces', 'misua'], [], ['1', 'piece', 'onion', 'minced'], [], ['6', 'cloves', 'garlic', 'crushed'], [], ['3', 'tablespoons', 'fish', 'sauce'], [], ['1', 'piece', 'raw', 'egg'], [], ['1', 'piece', 'beef', 'cube'], [], ['18', 'cup', 'allpurpose', 'flour'], [], ['1', 'teaspoon', 'Salt'], [], ['12', 'teaspoon', 'ground', 'black', 'pepper'], [], ['5', 'cups', 'water'], [], ['3', 'tablespoons', 'cooking', 'oil']]","['ground', 'pork', 'patola', 'ridge', 'gourd', 'misua', 'onion', 'garlic', 'fish', 'sauce', 'raw', 'egg', 'beef', 'cube', 'all', 'purpose', 'flour', 'salt', 'ground', 'black', 'pepper', 'water', 'cooking', 'oil']"
Beef Salpicao,"40
minutes","30
minutes",Lunch,, 5g (2%, 25g (50%, 21g (32%, 7g (35%, 1g Monounsaturated Fat, 804mg (34%, 541mg (15%, 1g (4%, 1g (1%, 187IU (4%, 3mg (4%, 53mg (5%, 3mg (17%, 6g Calories,,,https://panlasangpinoy.com/easy-beef-salpicao-recipe/,"▢
1 ½ lbs. beef tenderloin cubed
▢
1 head garlic
▢
1 teaspoon salt
▢
3 tablespoons butter
▢
¼ cup olive oil
▢
½ teaspoon ground black pepper
▢
5 tablespoons Worcestershire Sauce
▢
2 tablespoons oyster sauce","[[], ['1', '½', 'lbs', 'beef', 'tenderloin', 'cubed'], [], ['1', 'head', 'garlic'], [], ['1', 'teaspoon', 'salt'], [], ['3', 'tablespoons', 'butter'], [], ['¼', 'cup', 'olive', 'oil'], [], ['½', 'teaspoon', 'ground', 'black', 'pepper'], [], ['5', 'tablespoons', 'Worcestershire', 'Sauce'], [], ['2', 'tablespoons', 'oyster', 'sauce']]","['beef', 'tenderloin', 'cubed', 'head', 'garlic', 'salt', 'butter', 'olive', 'oil', 'ground', 'black', 'pepper', 'worcestershire', 'sauce', 'oyster', 'sauce']"
Baked Macaroni Recipe,"10
minutes","35
minutes",Lunch,, 55g (18%, 24g (48%, 26g (40%, 13g (65%, 1g Monounsaturated Fat, 447mg (19%, 652mg (19%, 3g (12%, 10g (11%, 1103IU (22%, 16mg (19%, 199mg (20%, 3mg (17%, 8g Calories,,,https://panlasangpinoy.com/how-to-make-pasta-cheese-baked-macaroni-recipe/,"▢
1 lb elbow macaroni uncooked","[[], ['1', 'lb', 'elbow', 'macaroni', 'uncooked']]","['elbow', 'macaroni', 'uncooked']"
Laswa Recipe,"5
minutes","25
minutes",Lunch,, 9g (3%, 13g (26%, 1g (2%, 1g (5%,, 453mg (19%, 282mg (8%, 2g (8%, 3g (3%, 3996IU (80%, 16mg (19%, 123mg (12%, 2mg (11%, 6g Calories, 143mg (48%,,https://panlasangpinoy.com/laswa-recipe/,"▢
8 pieces shrimp cleaned
▢
2 pieces Chinese eggplant sliced
▢
1 1/2 cups kalabasa squash diced
▢
15 pieces string beans cut into 2 inch pieces
▢
1 cup saluyot leaves
▢
2 cups alugbati
▢
1 cup Amaranth leaves (kulitis)
▢
8 pieces okra
▢
2 pieces tomato wedged
▢
1 piece onion wedged
▢
2 teaspoons bagoong alamang or guinamos
▢
5 cups water
▢
Salt and ground black pepper to taste","[[], ['8', 'pieces', 'shrimp', 'cleaned'], [], ['2', 'pieces', 'Chinese', 'eggplant', 'sliced'], [], ['1', '12', 'cups', 'kalabasa', 'squash', 'diced'], [], ['15', 'pieces', 'string', 'beans', 'cut', 'into', '2', 'inch', 'pieces'], [], ['1', 'cup', 'saluyot', 'leaves'], [], ['2', 'cups', 'alugbati'], [], ['1', 'cup', 'Amaranth', 'leaves', 'kulitis'], [], ['8', 'pieces', 'okra'], [], ['2', 'pieces', 'tomato', 'wedged'], [], ['1', 'piece', 'onion', 'wedged'], [], ['2', 'teaspoons', 'bagoong', 'alamang', 'or', 'guinamos'], [], ['5', 'cups', 'water'], [], ['Salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste']]","['shrimp', 'cleaned', 'chinese', 'eggplant', 'kalabasa', 'squash', 'string', 'beans', 'cut', 'into', 'inch', 'saluyot', 'leaves', 'alugbati', 'amaranth', 'leaves', 'kulitis', 'okra', 'tomato', 'wedged', 'onion', 'wedged', 'bagoong', 'alamang', 'or', 'guinamos', 'water', 'salt', 'and', 'ground', 'black', 'pepper', 'to', 'taste']"
Tortang Talong Recipe,"15
minutes","12
minutes",Lunch,, 1g Protein,, 21g (32%, 2g (10%, 6g Monounsaturated Fat, 582mg (24%, 3mg Fiber,, 1g (1%, 3IU Vitamin C,, 1mg Iron,, 4g Calories,,,https://panlasangpinoy.com/filipino-vegetable-food-eggplant-omelet-tortang-talong-recipe/,"▢
4 pieces Chinese eggplant
▢
2 pieces raw eggs
▢
1 teaspoon salt
▢
6 tablespoons cooking oil","[[], ['4', 'pieces', 'Chinese', 'eggplant'], [], ['2', 'pieces', 'raw', 'eggs'], [], ['1', 'teaspoon', 'salt'], [], ['6', 'tablespoons', 'cooking', 'oil']]","['chinese', 'eggplant', 'raw', 'eggs', 'salt', 'cooking', 'oil']"
Ginisang Munggo (Monggo),"10
minutes",,Lunch,, 41g (14%, 21g (42%, 11g (17%, 3g (15%, 2g Monounsaturated Fat, 726mg (30%, 922mg (26%, 10g (40%, 5g (6%, 1172IU (23%, 10mg (12%, 113mg (11%, 4mg (22%, 6g Calories,,,https://panlasangpinoy.com/ginisang-munggo-sauteed-mung-beans/,"▢
1 1/2 cups Mung beans
▢
1 tbsp garlic
▢
½ lb pork thinly sliced
▢
2 cups spinach (or alugbati)
▢
1 piece tomato chopped
▢
1 piece onion chopped
▢
8 pieces shrimp optional
▢
2 tablespoons fish sauce
▢
24 ounces water for boiling
▢
1 piece Knorr beef cube for flavoring
▢
1/2 cup crushed pork rind chicharon
▢
1/4 teaspoon ground black pepper","[[], ['1', '12', 'cups', 'Mung', 'beans'], [], ['1', 'tbsp', 'garlic'], [], ['½', 'lb', 'pork', 'thinly', 'sliced'], [], ['2', 'cups', 'spinach', 'or', 'alugbati'], [], ['1', 'piece', 'tomato', 'chopped'], [], ['1', 'piece', 'onion', 'chopped'], [], ['8', 'pieces', 'shrimp', 'optional'], [], ['2', 'tablespoons', 'fish', 'sauce'], [], ['24', 'ounces', 'water', 'for', 'boiling'], [], ['1', 'piece', 'Knorr', 'beef', 'cube', 'for', 'flavoring'], [], ['12', 'cup', 'crushed', 'pork', 'rind', 'chicharon'], [], ['14', 'teaspoon', 'ground', 'black', 'pepper']]","['mung', 'beans', 'garlic', 'pork', 'thinly', 'spinach', 'or', 'alugbati', 'tomato', 'onion', 'shrimp', 'optional', 'fish', 'sauce', 'water', 'for', 'boiling', 'knorr', 'beef', 'cube', 'for', 'flavoring', 'pork', 'rind', 'chicharon', 'ground', 'black', 'pepper']"
